Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0,0,0,0,"4,116","0,019013","-3,1198E-06","6,0397E-07","0,018987","-1,6736E-06","0,033013",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/base_link.STL,,fix_base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rf1_Link,"-0,000180025755014773","-0,095698641603588","-0,00334460441190246",0,0,0,"0,105839941889362","0,000251568598676522","-1,3190478298987E-07","-1,76570125670921E-11","2,49430023061273E-05","9,97256647574034E-07","0,000257239396139277",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/rf1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/rf1_Link.STL,,rb_rf-1,Origin_theta12,Axis1,theta1,continuous,0,"-0,14772","-0,1908","-1,5708","-1,5279","1,5708",base_link,0,0,1,,,,,,,,,,,,
ball_top1_Link,0,0,"4,96483227560846E-15",0,0,0,"0,00403450389151663","5,68434704387569E-07",0,"-6,99509969560986E-23","5,68434704387569E-07","1,26866599360354E-22","4,2954616111995E-08",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_top1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_top1_Link.STL,,ball_ros_end-1,Origin_ball_top12,Axis4,ball_top1,continuous,"-0,0125000000000005","-0,291500000000001",0,0,0,"2,51628974348087",rf1_Link,0,0,-1,,,,,,,,,,,,
re1_Link,"-5,55111512312578E-16","-6,24500451351651E-17","-0,368",0,0,0,"0,0573157505737431","0,00168724685333462","-1,95026420120651E-23","-9,82558218814988E-19","0,00168724685333461","-2,73831028766095E-19","2,40911741756134E-06",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re1_Link.STL,,rb_re-1,Origin_re12,Axis7,re1,continuous,0,0,"0,0333733971724094","-1,57079632679489",0,"1,5707963267949",ball_top1_Link,-1,0,0,,,,,,,,,,,,
ball_bot1_Link,0,"-3,88578058618805E-16","-0,0333733971724045",0,0,0,"0,00403450389151663","5,68434704387569E-07",0,"-1,50369652192614E-22","5,68434704387569E-07","-5,61340337985591E-23","4,2954616111995E-08",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_bot1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_bot1_Link.STL,,ball_ros_end-4,Origin_re_ball2,Axis13,re_ball,continuous,0,0,"-0,736","1,57079632679489","1,5707963267949",0,re1_Link,0,-1,0,,,,,,,,,,,,
ball_moving_Link,"0,0333733971724034","0,0346410161513765","-0,000395409279406289",0,0,0,"0,024578598394115","1,11301111565817E-05","-1,0553815217793E-21","2,98720633800108E-23","1,1130111156582E-05","-2,37814426108995E-21","2,18824601689992E-05",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_moving_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_moving_Link.STL,,moving_base-1,Origin_ball_moving2,Axis19,ball_moving,continuous,0,0,0,"2,5591","1,5708",0,ball_bot1_Link,1,0,0,,,,,,,,,,,,
ball_bot2_Link,"-1,33226762955019E-15","1,0547118733939E-15","-0,0133133014137978",0,0,0,"0,00403450389151663","5,68434704387569E-07","5,29395592033938E-23","-1,75090631434492E-22","5,68434704387569E-07","-7,85728408212561E-23","4,2954616111995E-08",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_bot2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_bot2_Link.STL,,ball_ros_end-5,Origin_ball_bot22,Axis20,ball_bot2,fixed,"0,07003","0,040432",0,"-1,5708","0,98835","-2,618",ball_moving_Link,0,0,0,,,,,,,,,,,,
ball_bot3_Link,"-4,44089209850063E-16","1,4432899320127E-15","0,0465710472243423",0,0,0,"0,00403450389151663","5,68434704387569E-07","-2,64697796016969E-23","3,99022495151383E-22","5,68434704387569E-07","-1,1213966056023E-22","4,2954616111995E-08",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_bot3_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_bot3_Link.STL,,ball_ros_end-6,Origin_ball_bot32,Axis21,ball_bot3,fixed,"-0,019912","0,01163",0,"1,5708","-0,98835","2,618",ball_moving_Link,0,0,0,,,,,,,,,,,,
re2_Link,"-3,88578058618805E-16","-9,71445146547012E-17","-0,368",0,0,0,"0,057315750573743","0,00168724685333462","-8,51517412309534E-23","-1,17981101640683E-18","0,00168724685333462","-3,03320016728441E-19","2,4091174175618E-06",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re2_Link.STL,,rb_re-2,Origin_re22,Axis8,re2,continuous,0,0,"-0,0333733971723995","-1,57079632679489",0,"1,5707963267949",ball_top1_Link,-1,0,0,,,,,,,,,,,,
rf2_Link,"-0,000180009871745185","-0,105698167078432","-0,00334457386232478",0,0,0,"0,105840527396936","0,000251568641704869","-1,31915124400507E-07","-2,48118486774048E-11","2,49431921936754E-05","9,97258259821399E-07","0,000257239597683217",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/rf2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/rf2_Link.STL,,rb_rf-2,Origin_theta22,Axis2,theta2,continuous,"0,11928","0,068867","-0,19123","-1,5708","-1,5279","-2,618",base_link,0,0,1,,,,,,,,,,,,
ball_top2_Link,0,"5,55111512312578E-17","-2,22044604925031E-16",0,0,0,"0,00403450389151663","5,68434704387569E-07","-5,29395592033938E-23","2,25005090297828E-22","5,68434704387569E-07","4,31443928495655E-22","4,2954616111995E-08",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_top2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_top2_Link.STL,,ball_ros_end-3,Origin_ball_top22,Axis5,ball_top2,continuous,"-0,012500000000001","-0,3015",0,0,0,"2,51628974348086",rf2_Link,0,0,1,,,,,,,,,,,,
re3_Link,"6,66133814775094E-16","-1,13797860024079E-15","-0,368000000000001",0,0,0,"0,057315750573743","0,00168724685333462","6,92705888295819E-20","2,80389081364855E-18","0,00168724685333462","-5,12751653114693E-18","2,40911741756149E-06",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re3_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re3_Link.STL,,rb_re-3,Origin_re32,Axis9,re3,continuous,0,0,"0,0333733971724042","-1,5707963267949",0,"1,5707963267949",ball_top2_Link,-1,0,0,,,,,,,,,,,,
re4_Link,"6,66133814775094E-16","-2,91433543964104E-16","-0,368",0,0,0,"0,057315750573743","0,00168724685333461","-3,79244537653438E-20","1,9421406689357E-18","0,00168724685333461","-7,66827937291266E-19","2,4091174175619E-06",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re4_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re4_Link.STL,,rb_re-4,Origin_re42,Axis10,re4,continuous,0,0,"-0,0333733971724047","-1,5707963267949",0,"1,5707963267949",ball_top2_Link,-1,0,0,,,,,,,,,,,,
rf3_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/rf3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/rf3_Link.STL,,rb_rf-3,Origin_theta32,Axis3,theta3,continuous,"-0,119280710091501","0,068866750080458","-0,191228422747961","-1,5707963267949","-1,52794093527818","-0,523598775598293",base_link,0,0,1,,,,,,,,,,,,
ball_top3_Link,"-2,77555756156289E-17","1,11022302462516E-16","-1,66533453693773E-16",0,0,0,"0,00403450389151663","5,68434704387569E-07","-1,05879118406788E-22","1,31270317227593E-21","5,68434704387569E-07","-3,02898626422217E-22","4,2954616111995E-08",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_top3_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/ball_top3_Link.STL,,ball_ros_end-2,Origin_ball_top32,Axis6,ball_top3,continuous,"-0,0125000000000005","-0,3015",0,0,0,"2,51628974348087",rf3_Link,0,0,1,,,,,,,,,,,,
re5_Link,"-4,44089209850063E-16","3,05311331771918E-16","-0,368",0,0,0,"0,057315750573743","0,00168724685333462","-1,36090828351888E-20","-1,53556485425364E-18","0,00168724685333462","1,85158360849357E-18","2,40911741756136E-06",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re5_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re5_Link.STL,,rb_re-6,Origin_re52,Axis11,re5,continuous,0,0,"0,0333733971724043","-1,5707963267949",0,"1,5707963267949",ball_top3_Link,1,0,0,,,,,,,,,,,,
re6_Link,"-2,22044604925031E-16","2,4980018054066E-16","-0,368",0,0,0,"0,057315750573743","0,00168724685333462","2,70673505260576E-20","-1,72614726738586E-18","0,00168724685333462","1,20806046488522E-18","2,40911741756203E-06",0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re6_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://deltaxs_v4_d800/meshes/re6_Link.STL,,rb_re-5,Origin_re6,Axis12,re6,continuous,0,0,"-0,0333733971724047","-1,5707963267949",0,"1,5707963267949",ball_top3_Link,1,0,0,,,,,,,,,,,,
